Year,Artist,Title,Genre,Streams(Millions)
,Nause,Dynamite,Future House,130
,Deorro,Bailar - Remix,Hip House,130
,Niklas Dee,Not Fair,Stutter House,130
,Jax Jones,Play,House,130
,Nathan Dawe,Lighter,Future House,130
,Nathan Dawe,Lighter,Garage House,130
2016,Whethan,Savage,Future Bass,130
2018,Hayden James,Just Friends,Brazilian Bass,130
2020,Yves V,Not So Bad,Slap House,130
,Niklas Dee,Not Fair,Tech House,130
,Lost Sky,Fearless,Trap,130
,The Chainsmokers,Inside Out,Trap,129
,Timmy Trumpet,Oracle,Psytrance,129
1996,The Prodigy,Firestarter,Big Beat,129
,Flux Pavilion,I Can't Stop,Brostep,129
2023,Fred again..,adore u,Stutter House,129
2023,Fred again..,adore u,Progressive House,129
,LA Vision,Hollywood,Progressive House,128
,Sofi Tukker,Best Friend,G-House,128
,OMFG,Hello,Glitch Hop,128
,Sofi Tukker,Best Friend,Future House,128
2015,Jai Wolf,Indian Summer,Future Bass,128
,Sofi Tukker,Drinkee,Tech House,128
2017,Cash Cash,All My Love,Future Bass,128
,MK,My Head Is A Jungle,Diva House,128
2019,SLANDER,Love Is Gone,Future Bass,128
,MK,My Head Is A Jungle,Garage House,128
,Sofi Tukker,Best Friend,Tech House,128
,Sofi Tukker,Drinkee,Organic House,128
2019,Loud Luxury,Body On My,Slap House,128
2017,Cash Cash,All My Love,Trap,128
2012,BIGBANG,FANTASTIC BABY,Electro House,127
,Kungs,Clap Your Hands,Nu-Disco,127
,Basshunter,Now You're Gone,Hands Up,127
2017,ODESZA,Line Of Sight,Future Bass,127
,Clean Bandit,Drive,House,127
1997,Fatboy Slim,Brimful Of Asha,Big Beat,127
,HUGEL,WTF,Future House,127
2020,R3HAB,Creep,Slap House,127
,Daft Punk,Girogio By Moroder,Space Disco,127
,Vintage Culture,I Will Find,Tropical House,127
,Daft Punk,Girogio By Moroder,Electro-Disco,127
,Gigi D'Agostino,Bla Bla Bla,Italo Dance,127
2024,Jaxomy,Pedro,Hyper Techno,127
,Kordhell,SCOPIN,Phonk House,126
,CeCe Peniston,Finally,Garage House,126
2016,Sak Noel,Trumpets,*Twerk,126
2012,Rihanna,Right Now,Electro House,126
,Kygo,Think About You,Festival Progressive House,126
,DotEXE,Monster,Brostep,125
2018,Ran-D,Zombie,Rawphoric,125
2020,VIZE,Paradise,Melbourne Bounce,125
2022,Kygo,Woke Up In Love,Future Bass,125
2023,TRASHXRL,Orqiestra Maldita,Beat Bruxaria,125
,RÜFÜS DU SOL,Underwater,Melodic House,125
2020,VIZE,Paradise,Slap House,125
,Martin Garrix,We Are The People,Festival Progressive House,125
,RÜFÜS DU SOL,Underwater,Progressive House,125
,Hayden James,Just Friends,Deep House,125
2018,Lost Kings,When We Were Young,Future Bass,125
,Fred again..,Jungle,Speed Garage,125
2020,Syzz,Gimme Gimme Gimme (A Man After Midnight),Slap House,125
2020,LIZOT,Weekend,Slap House,125
,Sam Feldt,Runaways,Tropical House,124
,Lucas & Steve,Where Have You Gone (Anywhere),Festival Progressive House,124
2016,Snakehips,Cruel,Future Bass,124
2020,Alok,Alive (It Feels Like),Slap House,124
2006,Supermode,Tell Me Why,Progressive House,124
,Tungevaag,DANCE,Future House,124
,Kygo,Not Ok,Tropical House,123
2019,EVERGLOW,Adios,Big Room House,123
,Gorgon City,Ready For Your Love,Future House,123
2024,Fred again..,leavemealone,Drum & Bass,123
,KAYTRANADA,10%,Deep House,123
,Jax Jones,This Is Real,Diva House,123
,David Guetta,When We Were Young (The Logical Song),Eurodance,123
,David Guetta,When We Were Young (The Logical Song),Euro-Trance,123
,Alok,Astronaut In The Ocean,Midtempo Bass,123
,David Guetta,When We Were Young (The Logical Song),Dream Trance,123
,Kygo,Love Me Now,Tropical House,123
,venbee,messy in heaven,Liquid Drum & Bass,123
2012,Hardwell,Call Me A Spaceman,Big Room House,123
2012,Hardwell,Call Me A Spaceman,Electro House,123
1999,Fatboy Slim,"Right Here, Right Now",Big Beat,123
,Gorgon City,Ready For Your Love,Deep House,123
,Steve Angello,Show Me Love,Euro House,123
2013,PSY,Gentleman,Melbourne Bounce,122
,Alok,Headlights,Tropical House,122
2021,Anne-Marie,Don't Play,2-Step,122
,Gigi D'Agostino,The Riddle,Italo Dance,122
,Daft Punk,Give Life Back To Music,Nu-Disco,122
,The Chemical Brothers,Hey Boy Hey Girl,Techno,122
,Knife Party,Bonfire,Drumstep,122
,Anna Naklab,Supergirl,Tropical House,122
,Madden,Golden Light,*Future Bounce,122
2018,Rudimental,Let Me Live,Future Bass,121
,Sigma,Changing,Dancefloor Drum & Bass,121
,Sigma,Changing,Liquid Drum & Bass,121
2020,Zedd,Funny,Future Bass,121
2015,Tiësto,Split (Only U),Melbourne Bounce,121
,Loud Luxury,Body On My,Hip House,121
2013,PSY,Gentleman,Dutch House,121
2018,Rudimental,Let Me Live,Trap,121
,GAMER & DADONI,Gimme! Gimme! Gimme!,Euro House,121
2011,Example,Changed The Way You Kiss Me,Electro House,121
,Avicii,Tough Love,Tropical House,121
2019,VIZE,Post Malone,*Slap House,121
2015,Tiësto,Split (Only U),Big Room House,121
2021,Topic,Chain My Heart,Slap House,120
,Sigala,We Don't Care,Moombahton,120
,Marshmello,Mask Off,Jersey Club,120
,Icona Pop,Emergency,Electro Swing,120
,David Guetta,Stay (Don't Go Away),Diva House,120
,Sigala,We Don't Care,Tropical House,120
,David Guetta,Stay (Don't Go Away),Garage House,120
2012,Far East Movement,Live My Life,Electro House,119
,Whiteny Houston,How Will I Know,Tropical House,119
,Daft Punk,Veridis Quo,Deep House,119
2014,The Chainsmokers,Kanye,Electro House,119
,INNA,Cola Song,Romanian Popcorn,119
2016,Whethan,When I'm Down,Future Bass,119
,Daft Punk,Veridis Quo,Nu-Disco,119
2015,MØ,Kamikaze,Future Bass,119
2019,Lucas & Steve,Perfect,Tropical House,119
,Beyoncé,COZY,Deep House,119
2019,Steve Void,Bruises,*Future House,119
1993,Reel 2 Real,I Like To Move It,Tribal House,118
,Tungevaag & Raaban,Bad Boy,Moombahton,118
2016,SJUR,Let Me Love You,Tropical House,118
,Serhat Durmus,La Câlin,Electronic Dance Music,118
1993,Reel 2 Real,I Like To Move It,Bubbling,118
,NEFFEX,Best Of Me,Trap,118
2018,Martin Garrix,Burn Out,Festival Progressive House,118
1993,Reel 2 Real,I Like To Move It,Hip House,118
2015,Marshmello,Summer,Future Bass,118
,Kygo,Forever Yours,Tropical House,118
,Alesso,Cool,Festival Progressive House,117
,Vice,Steady 1234,Tropical House,117
2004,The Chemical Brothers,Galvanize,Big Beat,117
,Lemaitre,Closer,Glitch Hop,117
2019,NOTD,Keep You Mine,Tropical House,117
2016,Gryffin,Whole Heart,Future Bass,117
2023,Alok,Car Keys (Ayla),Slap House,117
,Skrillex,Recess,Glitch Hop,116
,Marshmello,Summer,Trap,116
,Bob Sinclar,Rock This Party (Everybody Dance Now),Hip House,116
,Kygo,Sunrise,Tropical House,116
2014,Martin Garrix,Virus (How About Now),Electro House,116
,Skrillex,Kyoto,Drumstep,116
,Bebe Rexha,Sacrifice,Euro House,116
,Nora En Pure,Come With Me,Deep House,116
2017,Hardwell,Power,Electro House,116
2020,Imanbek,I'm Just Feelin' (Du Du Du),Slap House,116
2017,Hardwell,Power,Big Room House,116
2019,Chico Rose,Sad,Slap House,115
2023,Chase & Status,Baddadan,Jump-Up,115
,Galantis,Dandelion,Deep House,115
2005,Daft Punk,Technologic,French Electro,115
2011,LMFAO,Sorry For Party Rocking,Electro House,115
2015,Cartoon,Why We Lose,Dancefloor Drum & Bass,115
2011,LMFAO,Sorry For Party Rocking,Fidget House,115
2015,The Chainsmokers,Until You Were Gone,Electro House,115
,KVSH,Sicko Drop,Tech House,115
,deadmau5,The Veldt,Progressive House,114
,Kygo,Hot Stuff,Nu-Disco,114
,NewJeans,GODS,Trap,114
2023,DJ GUDOG,RITMADINHA DANÇANTE,Brazilian Phonk,114
,TheFatRat,Monody,Glitch Hop,114
2024,Madison Beer,Make You Mine,Melodic House,114
2019,John De Sohn,Love You Better,Future House,114
,Diplo,Old Town Road,Liquid Drum & Bass,114
,Bruno Martini,Sun Goes Down,Tropical House,114
2022,Beyoncé,PURE / HONEY,Ballroom,113
,Lost Frequencies,Like I Love You,Tropical House,113
,Axwell /\ Ingrosso ,Something New,Festival Progressive House,113
,Hypaton,Be My Lover,Future Rave,113
,Kungs,Don't You Know,Tropical House,113
,Axwell /\ Ingrosso ,Something New,Progressive House,113
,Grabbitz,Die For You,Midtempo Bass,113
,The Chainsmokers,Until You Were Gone,Festival Progressive House,113
2015,Marcus & Martinus,Elektrisk,Romanian Popcorn,113
,Marnik,Boyz In Paris,Hard Techno,113
,Otto Knows,Next To Me,Festival Progressive House,113
,Kungs,Don't You Know,Funky House,113
,Tiësto,On My Way,Tropical House,112
,Jack Ü,Take Ü There,Trap,112
,Zedd,Find You,Festival Progressive House,112
2023,Rivo,You & Me,Afro House,112
2017,Disciples,On My Mind,Future House,112
2022,David Guetta,Satisfaction,Electro House,112
,WEISS,Feel My Needs (Turn Around),Garage House,112
2017,Diplo,Get It Right,Future Bass,112
,David Guetta,What I Did For Love,Festival Progressive House,112
,Sam Feldt,Follow Me,Future House,112
,Zara Larsson,On My Love,Festival Progressive House,112
2018,Alan Walker,Different World,Future Bass,111
,Lasgo,Something,Euro-Trance,111
2022,Charli XCX,Beg For You,2-Step,111
,Matoma,Party On The West Coast,Tropical House,111
,Lasgo,Something,Vocal Trance,111
,southstar,We Are The People,Eurodance,111
,Axel Thesleff,Bad Karma,Wonky,110
,Felix Jaehn,Jennie,Tropical House,110
,NEFFEX,Destiny,Trap,110
2017,Tiësto,Carry You Home,Electro House,110
2015,Tujamo,Booty Bounce,Big Room House,110
2019,Jonas Blue,Ride It,Slap House,110
2023,FAST BOY,Forget You,Slap House,110
,Axel Thesleff,Bad Karma,Trap,110
,Dom Dolla,Take It,Tech House,109
,Robin Schulz,Show Me Love,Tropical House,109
,Robin Schulz,Show Me Love,House,109
2013,Dimitri Vegas & Like Mike,Mammoth,Big Room House,109
2022,Joel Corry,What Would You Do?,Slap House,109
2018,Marshmello,Fly,Future Bass,109
,Chris Lorenzo,California Dreamin',Tech House,109
2013,Dimitri Vegas & Like Mike,Mammoth,Electro House,109
2013,Linkin Park,A LIGHT THAT NEVER COMES,Complextro,109
,Bru-C,You & I,Liquid Drum & Bass,109
2014,Will Sparks,Ah Yeah So What,Melbourne Bounce,109
,Tiësto,Carry You Home,Festival Progressive House,108
,Sam Feldt,2 Hearts,Tropical House,108
,Duke Dumont,"Red Light Green Light - For Club Play Only, Pt. 6",Tech House,108
,DJ Fresh,Gold Dust,Dancefloor Drum & Bass,108
2018,Mike Williams,Wait Another Day,Electro House,108
,Lindsey Stirling,Crystallize,Brostep,108
,Skrillex,SICKO MODE,Hybrid Trap,108
,Clean Bandit,Mama,Tropical House,108
2014,Hippie Sabotage,Your Soul,*Wonky,108
2013,Calvin Harris,Open Wide,Big Room House,108
2017,R3HAB,I Just Can't,Future Bass,108
2018,Mike Williams,Wait Another Day,Future Bounce,108
,Lindsey Stirling,Crystallize,Melodic Dubstep,108
,ATB,9PM (Till I Come),Ibiza Trance,107
2023,DJ GUDOG,RITMADINHA DANÇANTE,Beat Bruxaria,107
,CAZZETTE,Sleepless,Future House,107
,Skrillex,Rumble,Grime,107
2022,Hensonn,Flare,Phonk House,107
,Skrillex,Rumble,Dubstep,107
,The Scene,A Year Without Rain,Eurodance,107
,Kygo,ID,Tropical House,107
,Joel Corry,I Wish,Future House,107
,Tristam,Flight,Drumstep,107
2018,Cash Cash,Finest Hour,Future Bass,107
2024,Zerb,Addicted,Melodic House,107
,Becky Hill,Heaven On My Mind,Garage House,107
,HUGEL,Morenita,Tech House,106
,Korn,Narcissistic Cannibal,Brostep,106
2020,Alok,Party On My Own,Slap House,106
2020,Alok,Hear Me Tonight,Slap House,106
2015,Hermitude,The Buzz,Future Bass,106
,Sigala,We Got Love,Future House,106
,Avicii,Gonna Love Ya,Tropical House,106
2018,Dzeko,Body,*Future Bounce,106
,CamelPhat,Breathe,Progressive House,105
2022,Regard,Hallucination,Slap House,105
,Mike Perry,Inside The Lines,Tropical House*,105
,Diplo,Revolution,Trap,105
2020,Major Lazer,Rave De Favela,Big Room House,105
2007,Fred Riester,Love Is Gone,Electro House,105
,Adventure Club,Crave You,Brostep,105
2018,DENNIS,Sou Teu Fã,Brazilian Bass,105
,Tiësto,Another Love,Tropical House,105
,Adventure Club,Crave You,Melodic Dubstep,105
,Becky Hill,Better Off Without You,Future House,105
,Marshmello,Fly,Trap,105
,Beyoncé,SUMMER RENAISSANCE,Euro House,104
,Calvin Harris,Open Wide,Hip House,104
,David Guetta,Versace On The Floor,Nu-Disco,104
2017,ODESZA,Higher Ground,Future Bass,104
2015,Louis The Child,It's Strange,Future Bass,104
,ZHU,Cocaine Model,Deep House,104
,INNA,Sun Is Up,Romanian Popcorn,104
,ODESZA,The Last Goodbye,Stutter House,104
2010,Example,Kickstarts,Electro House,104
,Robin Schulz,All This Love,Future House,104
2018,Vintage Culture,World Hold On,Brazilian Bass,104
,Beyoncé,SUMMER RENAISSANCE,Electro-Disco,104
,ODESZA,The Last Goodbye,Progressive House,104
,Basshunter,Boten Anna,Hands Up,103
,TryBoi,MyBoi,Trap,103
2021,Alesso,Chasing Stars,Trap,103
2021,Alok,It Don't Matter,Slap House,103
2020,RAYE,Regardless,Slap House,103
,Beyoncé,PURE / HONEY,Ghetto House,103
2020,Don Diablo,Bad,Slap House,103
,Klingande,Riva (Restart The Game),Tropical House,103
2013,Krewella,Alive,Electro House,103
,Oliver Heldens,This Groove,Funky House,102
2021,Go_A,SHUM,Trance,102
2017,Mike Perry,Talk About It,*Tropical House,102
,Disclosure,When A Fire Starts To Burn,Deep Tech,102
,Oliver Heldens,This Groove,Future House,102
,Tiësto,Silence (In Search Of Sunrise),,102
,RÜFÜS DU SOL,Sundream,Progressive House,102
,RÜFÜS DU SOL,Sundream,Tropical House,102
,Alesso,Is That For Me,Tropical House,102
,Lindsey Stirling,Shatter Me,Brostep,102
2022,Oliver Heldens,I Was Made For Lovin' You,Future House,102
2015,Major Lazer,Be Together,Future Bass,101
2015,ODESZA,Something About You,Future Bass,101
,Avicii,Fade Into Darkness,Festival Progressive House,101
,BUNT.,Clouds,Stutter House,101
2015,Alan Walker,Force,Electro House,101
2019,Gaullin,Sweater Weather,*Slap House,101
,filous,How Hard I Try,Deep House,101
,State Of Sound,Wake Up Where You Are,Tropical House,101
2020,Martin Jensen,Day 'N' Nite,Slap House,101
,Bakermat,Baby,Tech House,101
,Willy William,Trompeta,Guaracha,101
2019,TheFatRat,Rise Up,Future Bass,101
,Willy William,Trompeta,Hip House,101
,Linkin Park,A LIGHT THAT NEVER COMES,Moombahcore,101
2020,Felix Jaehn,No Therapy,Slap House,101
2022,AVAION,Sleepless,*Melodic House,101
,The Living Tombstone,I Got No Time,Glitch Hop,101
2019,Charli XCX,Blame It On Your Love,Future Bass,101
2020,Tony Igy,Never Go Home (Astronomia),Slap House,100
,Jonas Blue,Weekends,Eurodance,100
,Joel Corry,Lionheat (Fearless),Garage House,100
,INNA,Hot,Romanian Popcorn,100
2018,Hardwell,Bella Ciao,Electro House,100
,Martin Solveig, +1,Future House,100
2010,Pendulum,Witchcraft,Dancefloor Drum & Bass,100
2023,Alok,Work With My Love,Slap House,100
2021,Alesso,Leave A Little Love,Slap House,100
2016,Big Gigantic,All Of Me,Future Bass,100
2020,KSHMR,Kids,Slap House,100
,TheFatRat,Rise Up,Glitch Hop,100
2018,Hardwell,Bella Ciao,Big Room House,100
,Alle Farben,Bad Ideas,Tropical House,100
2023,Alok,Jungle,Euro-Trance,100
2023,Alok,Jungle,Dream Trance,100
2022,SICK CVNT,PART OF ME,*Hardstyle,99
2016,Ookay,Thief,Future Bass,99
,Sofi Tukker,COPYCAT,Future House,99
,Martin Jensen,Wait,Tropical House,99
,GAMER & DADONI,Bulletproof,Tropical House,99
,Endless Summer,Crying On The Dancefloor,Eurodance,99
,SIDEPIECE,Deep End,Tech House,99
2020,Joker Bra,Baby,Slap House,99
,SIDEPIECE,Deep End,G-House,99
,Endless Summer,Crying On The Dancefloor,Euro-Trance,99
2011,Swedish House Mafia,Antidote,Complextro,98
,Tiësto,It Ain't Me,Future House,98
,MK,Rhyme Dust,Tech House,98
2015,PSY,DADDY,Melbourne Bounce,98
2019,Cheat Codes,Who's Got Your Love,Slap House,98
2016,Claptone,Heartbeat,Deep House,98
,Jonas Blue,Younger,Tropical House,98
,Restricted,Big Jet Plane,Peak Time Techno,98
,Bakermat,Living,Electro Swing,98
,Krewella,Alive,Festival Progressive House,98
,Sam Feldt,Slow Dance,*Future House,98
2021,Tiësto,Pepas,Dutch House,98
,Bakermat,Living,Tropical House,98
,Caramella Girls,Caramelldansen,Bubblegum Dance,97
,Alesso,Leave A Little Love,Future House,97
,Jhayco,En Mi Cuarto,Hip House,97
,RÜFÜS DU SOL,On My Knees,Tech House,97
,Jhayco,En Mi Cuarto,Deep House,97
,DEAF KEV,Invincible,Glitch Hop,97
2022,twocolors,Heavy Metal Love,Slap House,97
2018,Tiësto,WOW,Electro House,97
,twocolors,Cynical,Future Rave,97
,Thomas Jack,Gold,Tropical House,97
,Thomas Jack,Rivers ,Tropical House,97
,Joker Bra,Baby,Hip House,97
2018,Tiësto,WOW,Big Room House,97
,Yellow Claw,Till It Hurts,Festival Trap,97
,Yellow Claw,Till It Hurts,Hard Trap,97
2016,Mura Masa,What If I Go?,Future Bass,97
,Kx5,Escape,Progressive House,96
2023,Hannah Laing,Good Love,UK Hard House,96
1997,Bellini,Samba de Janiero,Euro House,96
1997,Bellini,Samba de Janiero,Latin House,96
2019,220 KID,Don't Need Love,Slap House,96
2022,Felix Jaehn,Rain In ibiza,Slap House,96
1997,Bellini,Samba de Janiero,Eurodance,96
2021,J. Worra,Check Out,Tech House,96
2023,Hannah Laing,Good Love,Eurodance,96
,KAYTRANADA,Intimidated,Deep House,96
,Tiësto,Adagio For Strings,Tech Trance,96
,Martin Garrix,Higher Ground,Festival Progressive House,96
,Tiësto,Adagio For Strings,Uplifting Trance,96
,D.O.D,Still Sleepless,Garage House,96
,KREAM,Taped Up Heart,Tropical House,96
2020,ILLENIUM,Nightlight,Melodic Dubstep,95
,Sigala,Stay The Night,Garage House,95
,Major Lazer,Buscando Huellas,Moombahton,95
2019,220 KID,Don't Need Love,Future House,95
,Example,Kickstarts,Hip House,95
,Steve Aoki,Are You Lonely,Midtempo Bass,95
2021,Trinix,She Said (Big Jet Plane),Deep House,95
2020,ILLENIUM,Nightlight,Future Bass,95
2018,Alle Farben,H.O.L.Y.,Tropical House,95
,Sigala,Stay The Night,Euro House,95
2013,AFROJACK,The Spark,Electro House,95
2022,DJ GUDOG,BEAT MÁGICO QUE MEXE COM A SUA MENTE,Funk Mendelão,94
,Jax Jones,House Work,Tech House,94
,Kaleb Di Masi,Hace Calor,Guaracha,94
2022,DJ GUDOG,BEAT MÁGICO QUE MEXE COM A SUA MENTE,Beat Bruxaria,94
2021,Rita Ora,Big,Slap House,94
2021,Noizu,Summer 91 (Looking Back),Garage House,94
2016,Cash Cash,Millionaire,Moombahton,94
,Don Diablo,Cutting Shapes,Future House,94
,Alesso,Falling,Deep House,94
,Alesso,Years,Festival Progressive House,94
,Aero Chord,Surface,Festival Trap,94
2021,Noizu,Summer 91 (Looking Back),Diva House,94
2020,DMNDS,Seven Nation Army,Slap House,94
2019,Big Wild,6's To 9's,Future Bass,94
,David Guetta,Conversations In The Dark,Tropical House,94
2019,Dynoro,Obsessed,Slap House,93
,Eric Prydz,Opus,Progressive House,93
,Sabrina Carpenter,Alien,Tropical House,93
,Dimitri Vegas & Like Mike,Higher Place,Deep House,93
2014,AFROJACK,Turn Up The Speakers,Dutch House,93
,Elderbrook,Numb,Deep House,93
,Nathan Dawe,Flowers,Future House,93
,Avicii,Hold The Line,Twerk,93
,R3HAB,Unstoppable,Tropical House,93
2017,Big Wild,When I Get There,Future Bass,93
,Feder,Lordly,G-House,93
,Cash Cash,How To Love,Tropical House,93
2017,ILLENIUM,Fractures,Future Bass,93
,Flume,HyperParadise,Wonky,93
2020,Tujamo,Lonely,Slap House,93
,Avicii,Hold The Line,Tropical House,93
2018,Julius Dreisig,Invisible,Future Bass,92
2011,Bingo Players,Rattle,Dutch House,92
2019,Cheat Codes,South Of The Border,Future Bass,92
2016,Lost Kings,Phone Down,Future Bass,92
,NERO,Promises,Brostep,92
2016,R3HAB,Ain't My Fault,Future Bass,92
,Daft Punk,Aerodynamic,Electroclash,92
,Daft Punk,Aerodynamic,French House,92
,Hardwell,Everytime We Touch,Hands Up,92
2016,Cash Cash,Hero,Future Bass,92
2011,Bingo Players,Rattle,Electro House,92
,Claptone,Liquid Spirit,Deep House,92
,HBz,LEBENSLANG,*Hard Dance,92
,NERO,Promises,Melodic Dubstep,92
,Tiësto,WOW,Fidget House,92
2021,Armin van Buuren,No Fun,Slap House,92
2017,Robin Schulz,I Believe I'm Fine,Future Bass,92
2016,Marshmello,Ritual,Electro House,92
,Hayden James,NUMB,Wonky,92
2012,ODESZA,How Did I Get Here,Future Bass,92
,Deepend,Woke Up In Bangkok,*Tropical House,91
,Major Lazer,Believer,Hard Trap,91
,AFROJACK,The Spark,Festival Progressive House,91
2017,Mike Perry,Stay Young,Tropical House,91
2018,Liu,Nave Espacial,*Brazilian Bass,91
2020,Topic,Why Do You Lie To Me,Slap House,91
,INTERWORLD,RAPTURE,House,91
2018,Unknown Brain ,Control,Festival Trap,91
,Major Lazer,Believer,Festival Trap,91
,Beyoncé,VIRGO'S GROOVE,Funky House,91
,Beyoncé,VIRGO'S GROOVE,Nu-Disco,91
2011,Pitbull,Shake Senora,Dutch House,91
2017,M-22,First Time,Diva House,91
2021,Beachbag,We Are Young,*Psytrance,91
2022,Kordhell,MURDER PLOT,Hardbass,91
,FISHER,Ya Kidding,Tech House,91
2022,goddard.,go,*Liquid Drum & Bass,90
,Jonas Blue,Hear Me Say,Future House,90
,Becky Hill,Run,Garage House,90
2010,Kelly Rowland,Commander,Electro House,90
,Flume,On Top,Wonky,90
2023,Becky Hill,Disconnect,Dancefloor Drum & Bass,90
2014,TheFatRat,Xenogenesis,Future Bass,90
,NewJeans,GODS,Trap,90
,Vengaboys,We're Going To Ibiza!,Bubblegum Dance,90
,Kygo,Tired,Tropical House,90
,Flume,On Top,Glitch Hop,90
,Future,U Are My High,Trap,90
,R3HAB,Don't Call Me Up,*Moombahton,90
,Martin Garrix,Wizard,Big Room House,90
,Warriyo,Mortals,Trap,90
2019,Robin Schulz,Never Go Back,*Tropical House,89
,RÜFÜS DU SOL,Treat You Better,Deep House,89
2021,Arem Ogzuc,Astronaut In The Ocean,*Slap House,89
2021,Justin Bieber,Red Eye,*Future Bass,89
2019,Marshmello,Rescue Me,Future Bass,89
2002,David Guetta,Love Don't Let Me Go,Electro House,89
,TheFatRat,Stronger,Hybrid Trap,89
,Mako,Piercing Light,Festival Progressive House,89
,Supermode,Tell Me Why,Progressive House,89
,Vicetone,Walk Thru Fire,Future House,89
,ILLENIUM,Fractures,Melodic Dubstep,89
,RÜFÜS DU SOL,Treat You Better,Melodic House,89
2015,AFROJACK,SummerThing!,Dutch House,89
2010,Martin Solveig,Hello,Electro House,89
2017,Cat Dealers,Sunshine,*Brazilian Bass,89
2018,Gryffin,Just For A Moment,Future Bass,88
2015,San Holo,We Rise,Future Bass,88
,Cheat Codes,South Of The Border,Tropical House,88
2018,Black Coffee,Drive,Deep House,88
2018,Black Coffee,Drive,Afro House,88
,Gryffin,Remember,Future House,88
,Porter Robinson,Sad Machine,Synthpop [EDM],87
,Daft Punk,Da Funk,Acid House,87
,ARTY,Hurricane,Festival Progressive House,87
,Blasterjaxx,Faith,Big Room House,87
,Ski Aggu,Party Sahne,Hip House,87
,Daft Punk,Da Funk,French House,87
, Tiësto,Silence - DJ Tiësto's In Search Of Sunrise Edit,Vocal Trance,87
,French Kiwi Juice,Better Give U Up,Wonky,87
,Skrillex,Levels,Brostep,87
2001,Basement Jaxx,Where's Your Head At,Electro House,87
2017,Alan Walker,That's What I Like,Future Bass,87
,Porter Robinson,Sad Machine,Electronic Dance Music,87
,Aqua,Doctor Jones,Eurodance,87
,Aqua,Doctor Jones,Bubblegum Dance,87
2017,Cheat Codes,Stay With You,Wonky,87
,Michael Calfan,Treasured Soul,Future House,87
,Sam Feldt,Summer On You,Tropical House,87
,Michael Calfan,Treasured Soul,Tropical House,87
, Tiësto,Silence - DJ Tiësto's In Search Of Sunrise Edit,Uplifting Trance,87
,RÜFÜS DU SOL,No Place,Progressive House,86
,James Hype,No Drama,Tropical House,86
,Baauer,Harlem Shake,Trap,86
,Keys N Krates,Dum Dee Dum,Trap,86
,2 Brothers On The 4th Floor,Dreams (Will Come Alive),Eurodance,86
2017,Louis The Child,Slow Down Love,Trap,86
,Julius Dreisig,Invisible,Twerk,86
2020,Silva Hound,Addict,Electro House,86
2023,Dom Dolla,Saving Up,Funky House,86
,TheFatRat,Xenogenesis,Trap,86
2017,Hollywood Undead,Riot,G-House,86
2023,Dom Dolla,Saving Up,French House,86
,Julius Dreisig,Invisible,Trap,86
,Philipp Dittberner,Wolke 4,Tropical House,86
,Marshmello,Esta Vida,Guaracha,86
,K/DA,DRUM GO DUM,Moombahton,86
,Philip George,Alone No More,Euro House,86
,K/DA,DRUM GO DUM,Trap,86
,San Holo,We Rise,Trap,86
,Gabry Ponte,We Could Be Together,Euro House,86
,Philip George,Alone No More,Deep House,86
,Tungevaag & Raaban,Russian Roulette,*Hybrid Trap,86
,Seeb,What Do You Love,Tropical House,86
,Niklas Dee,Mädchen Auf Dem Pferd,Techno,86
,Sigala,Only One,*Tropical House,86
2023,Alan Walker,"Better Off (Alone, Pt. III)",Electro House,86
2022,Wuki,Edge Of Seventeen,Electro House,86
,Goodboys,Bongo Cha Cha Cha,Latin House,85
,PNAU,Chameleon,Progressive House,85
,ILLENIUM,Crawl Outta Love,Drumstep,85
,Goodboys,Bongo Cha Cha Cha,Tech House,85
,Chase & Status,Blind Faith,Drumstep,85
2012,Far East Movement,Turn Up The Love,Electro House,85
,PNAU,Chameleon,Future House,85
2010,Sak Noel,Loca People,Dutch House,85
2009,Moderat,A New Error,Progressive House,85
2012,Far East Movement,Turn Up The Love,Dutch House,85
,Yves V,We Got That Cool,Future House,85
,Otto Knows,Dying For You,Festival Progressive House,85
,The Chemical Brothers,Go,Big Beat,85
2018,NOTION,Hooked,Bass House,85
2019,NOTION,Hooked,Bassline,85
,Bomba Estéreo,Soy Yo,Digital Cumbia,85
2014,Porter Robinson,Goodbye To A World,Electro House,85
,The Chemical Brothers,Go,Hip House,85
,Vini Vici,Free Tibet,Psytrance,85
2010,Sak Noel,Loca People,Romanian Popcorn,85
,ILLENIUM,Crawl Outta Love,Melodic Dubstep,85
2014,Zedd,Find You,Electro House,85
,Syn Cole,Feel Good,Future House,85
,Sub Focus,Desire,Dancefloor Drum & Bass,85
2018,INZO,Overthinker,Midtempo Bass,84
,Yves Larock,Rise Up,House,84
,The Magician,Sunlight,House,84
,Robin Schulz,One More Time,Future House,84
2018,INZO,Overthinker,Future Bass,84
,Cash Cash,I Found You,Festival Progressive House,84
,The Magician,Sunlight,Diva House,84
,Dimitri Vegas & Like Mike,Repeat After Me,Big Room House,84
,Yves Larock,Rise Up,Funky House,84
,Pitbull,Shake Senora,Hip House,84
,AlunaGeorge,I'm In Control,Moombahton,84
,Duke Dumont,Real Life,Future House,84
,Armand Van Helden,U Don't Know Me,Funky House,83
2017,Davai,Replay,*Tropical House,83
,Riton,Rinse & Repeat,Hip House,83
